状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<FTYPE>,<Program>,<S>,<call>,<if语句>,<relop>,<relop和加法表达式>,<return语句>,<while语句>,<下标数组>,<中括号和数字>,<乘除因子>,<内部变量声明>,<内部声明>,<函数声明>,<加减项>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参>,<实参列表>,<形参>,<数组声明>,<表达式>,<表达式循环>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<逗号和表达式>,<项>,
36, , ,r16, , ,s30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42, , ,
37, , , , , , , , , , , , , , , , , , , ,r39, ,r39, , ,r39, , , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
38, , , , , , , , , , , , , , , ,s52, , , , ,s49, , ,s51, ,s50, , , , , , , ,45, , ,47,46,53, , , , , , , , , , , , , , , , , , , , ,44,43, ,48, , , ,
39, , , , , , , , ,s54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
40, , , , , , , , , , , , , , , ,s55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
41, , , , , , , , , , , , , , , ,s56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
42, , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
43, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
44, , , , , , , , , , , , , , , ,s52, , , , ,s49, , ,s51, ,s50, ,r26, , , , , ,45, , ,47,46,53, , , , , , , , , , , , , , , , , , , , ,44,58, ,48, , , ,
45, , , , , , , , , , , , , , , ,r28, , , , ,r28, , ,r28, ,r28, ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
46, , , , , , , , , , , , , , , ,r29, , , , ,r29, , ,r29, ,r29, ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
47, , , , , , , , , , , , , , , ,r30, , , , ,r30, , ,r30, ,r30, ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
