状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<FTYPE>,<Program>,<S>,<call>,<if语句>,<relop>,<relop和加法表达式>,<return语句>,<while语句>,<下标数组>,<中括号和数字>,<乘除因子>,<内部变量声明>,<内部声明>,<函数声明>,<加减项>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参>,<实参列表>,<形参>,<数组声明>,<表达式>,<表达式循环>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<逗号和表达式>,<项>,
142, , , , , , , , , , , , , , , ,r32, , , , ,r32, , ,r32, ,r32, ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
143, , , , , , , , , , , ,r35, , , , ,s190, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,189, , , , , , , ,
144, , , , , , , , , , , , , , , , , ,r45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
145, ,s110, , , , , , , , , , , , , ,s111, , , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , ,191, , , ,108, , , , , , , , , , , , , , , ,107,
146,r54, , , , , , , , ,r54,r54, ,r54,r54,r54, , ,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
147, ,s110, , , , , , , , , , , , , ,s111, , , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , , , , , ,108, , , , , , , , , , , , , , , ,192,
148, ,s110, , , , , , , , , , , , , ,s111, , , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , , , , , ,108, , , , , , , , , , , , , , , ,193,
149,r58, , , ,r58, ,r58, , ,r58,r58, ,r58,r58,r58, , ,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
150, ,s110, , , , , , , , , , , , , ,s111, , , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , , , , , ,194, , , , , , , , , , , , , , , , ,
151, ,s110, , , , , , , , , , , , , ,s111, , , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , , , , , ,195, , , , , , , , , , , , , , , , ,
152, , ,s196, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
153,r64, , ,r64,r64, ,r64,r64, ,r64,r64, ,r64,r64,r64, , ,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
154,r65, , ,r65,r65, ,r65,r65, ,r65,r65, ,r65,r65,r65, , ,r65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
155, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , ,136, , , ,138, , , , ,197, , ,135, , , , , , , ,137,
156, , , , , , , , , , , , , , , ,r33, , , , ,r33, , ,r33, ,r33, ,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
157, , , , , , , , ,r38, , , , , , , ,s75, , , , , , , , , , , , , , , , , , , , , , ,198, , , , , , , , , , , , , , , , , , , , , , , , , , ,
158, , , , , , , , , , , , , , , ,r43, , ,s199, ,r43, , ,r43, ,r43, ,r43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
159, , , , , , , , , , , , , , , ,r20, , , ,s41,r20,s40, ,r20, ,r20, , , , , , , , , , , , , , , ,39,200, , , , , , , , , , , , , , , , , , , , , , , ,
160,s93, ,r46, , , , , , ,s88,s89, ,s92,s90,s91, , , , , , , , , , , , , , , , , , , ,116,201, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
161,r57, ,r57, ,s118, ,s119, , ,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,202, , , , , , , , , , , , , , , , , , , , , ,
162,r57, ,r57, ,s118, ,s119, , ,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,203, , , , , , , , , , , , , , , , , , , , , ,
163,r61, ,r61,s121,r61, ,r61,s122, ,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,204, , , , , , , , , , , , , , , , , , , , , , , , , ,
164,r61, ,r61,s121,r61, ,r61,s122, ,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,205, , , , , , , , , , , , , , , , , , , , , , , , , ,
165,r63, ,r63,r63,r63, ,r63,r63, ,r63,r63, ,r63,r63,r63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
166, , ,s206, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
167, , , , , , , , , , , , , , , ,r42, , , , ,r42, , ,r42, ,r42, ,r42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
168, , , , , , , , , , , , , , , ,r20, , , ,s41,r20,s40, ,r20, ,r20, , , , , , , , , , , , , , , ,39,207, , , , , , , , , , , , , , , , , , , , , , , ,
169, , , , , , , , ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
170,r55, , , , , , , ,r55,r55,r55, ,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
171,r56, , , , , , , ,r56,r56,r56, ,r56,r56,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
172,r59, , , ,r59, ,r59, ,r59,r59,r59, ,r59,r59,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
173,r60, , , ,r60, ,r60, ,r60,r60,r60, ,r60,r60,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
174,r67, , ,r67,r67, ,r67,r67,r67,r67,r67, ,r67,r67,r67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
175, , ,r70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
176, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , ,136, , , ,138, , , , , , , ,208, , , , , , , ,137,
177, , ,r45, , ,r45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
178, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , ,209, , , ,138, , , , , , , , , , , , , , , ,137,
179,r54, ,r54, , ,r54, , , ,r54,r54, ,r54,r54,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
180, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , , , , , ,138, , , , , , , , , , , , , , , ,210,
181, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , , , , , ,138, , , , , , , , , , , , , , , ,211,
182,r58, ,r58, ,r58,r58,r58, , ,r58,r58, ,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
183, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , , , , , ,212, , , , , , , , , , , , , , , , ,
184, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , , , , , ,213, , , , , , , , , , , , , , , , ,
185, , ,s214, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
186,r64, ,r64,r64,r64,r64,r64,r64, ,r64,r64, ,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
187,r65, ,r65,r65,r65,r65,r65,r65, ,r65,r65, ,r65,r65,r65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
188, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , ,136, , , ,138, , , , ,215, , ,135, , , , , , , ,137,
189, , , , , , , , , , , ,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
190, ,s110, , , , , , , , , , , , , ,s111, , , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , ,106, , , ,108, , , , , , , ,216, , , , , , , ,107,
191,s93, , , , , , , , ,s88,s89, ,s92,s90,s91, , ,r46, , , , , , , , , , , , , , , , ,145,217, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
192,r57, , , ,s147, ,s148, , ,r57,r57, ,r57,r57,r57, , ,r57, , , , , , , , , , , , , , , , , , , , , , , , , , ,218, , , , , , , , , , , , , , , , , , , , , ,
193,r57, , , ,s147, ,s148, , ,r57,r57, ,r57,r57,r57, , ,r57, , , , , , , , , , , , , , , , , , , , , , , , , , ,219, , , , , , , , , , , , , , , , , , , , , ,
194,r61, , ,s150,r61, ,r61,s151, ,r61,r61, ,r61,r61,r61, , ,r61, , , , , , , , , , , , , , , , , , , , , , ,220, , , , , , , , , , , , , , , , , , , , , , , , , ,
195,r61, , ,s150,r61, ,r61,s151, ,r61,r61, ,r61,r61,r61, , ,r61, , , , , , , , , , , , , , , , , , , , , , ,221, , , , , , , , , , , , , , , , , , , , , , , , , ,
196,r63, , ,r63,r63, ,r63,r63, ,r63,r63, ,r63,r63,r63, , ,r63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
197, , ,s222, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
198, , , , , , , , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
199, , , , , , , , , , , , , , , , , , , , , , , , , , ,s168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,223, , , , ,
200, , , , , , , , , , , , , , , ,s52, , , , ,s49, , ,s51, ,s50, , , , , , , ,45, , ,47,46,53, , , , , , , , , , , , , , , , , , , , ,44,224, ,48, , , ,
201, , ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
202,r55, ,r55, , , , , , ,r55,r55, ,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
203,r56, ,r56, , , , , , ,r56,r56, ,r56,r56,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
204,r59, ,r59, ,r59, ,r59, , ,r59,r59, ,r59,r59,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
205,r60, ,r60, ,r60, ,r60, , ,r60,r60, ,r60,r60,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
206,r67, ,r67,r67,r67, ,r67,r67, ,r67,r67, ,r67,r67,r67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
207, , , , , , , , , , , , , , , ,s52, , , , ,s49, , ,s51, ,s50, , , , , , , ,45, , ,47,46,53, , , , , , , , , , , , , , , , , , , , ,44,225, ,48, , , ,
208, , ,r72, , ,s176, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,226, ,
209,s93, ,r46, , ,r46, , , ,s88,s89, ,s92,s90,s91, , , , , , , , , , , , , , , , , , , ,178,227, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
210,r57, ,r57, ,s180,r57,s181, , ,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,228, , , , , , , , , , , , , , , , , , , , , ,
211,r57, ,r57, ,s180,r57,s181, , ,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,229, , , , , , , , , , , , , , , , , , , , , ,
212,r61, ,r61,s183,r61,r61,r61,s184, ,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,230, , , , , , , , , , , , , , , , , , , , , , , , , ,
213,r61, ,r61,s183,r61,r61,r61,s184, ,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,231, , , , , , , , , , , , , , , , , , , , , , , , , ,
214,r63, ,r63,r63,r63,r63,r63,r63, ,r63,r63, ,r63,r63,r63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
215, , ,s232, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
216, , , , , , , , , , , , , , , , , ,s233, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
217, , , , , , , , , , , , , , , , , ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
218,r55, , , , , , , , ,r55,r55, ,r55,r55,r55, , ,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
219,r56, , , , , , , , ,r56,r56, ,r56,r56,r56, , ,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
220,r59, , , ,r59, ,r59, , ,r59,r59, ,r59,r59,r59, , ,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
221,r60, , , ,r60, ,r60, , ,r60,r60, ,r60,r60,r60, , ,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
222,r67, , ,r67,r67, ,r67,r67, ,r67,r67, ,r67,r67,r67, , ,r67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
223, , , , , , , , , , , , , , , ,r44, , , , ,r44, , ,r44, ,r44, ,r44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
224, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s234, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
225, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s235, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
226, , ,r71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
227, , ,r47, , ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
228,r55, ,r55, , ,r55, , , ,r55,r55, ,r55,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
229,r56, ,r56, , ,r56, , , ,r56,r56, ,r56,r56,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
230,r59, ,r59, ,r59,r59,r59, , ,r59,r59, ,r59,r59,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
231,r60, ,r60, ,r60,r60,r60, , ,r60,r60, ,r60,r60,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
232,r67, ,r67,r67,r67,r67,r67,r67, ,r67,r67, ,r67,r67,r67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
233, , , , , , , , , , , ,r35, , , , ,s190, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,236, , , , , , , ,
234, , , , , , , , , , , , , , , ,r19, , ,r19, ,r19, , ,r19, ,r19, ,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
235, , , , , , , , , , , , , , , ,r19, , , , ,r19, , ,r19, ,r19, ,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
236, , , , , , , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
